"No.","Time","Source","Destination","Protocol","Length","Info"
"478","2.816792000","10.10.11.48","239.255.255.250","IGMPv2","64","Membership Report group 239.255.255.250"
"479","2.828573000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M22.MTCMILR.NET<00>"
"480","2.830256000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.10.64"
"481","2.830336000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.10.64"
"482","2.832195000","10.10.14.153","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"483","2.834067000","10.10.13.117","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"484","2.859856000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M21.LUPQXAL.ORG<00>"
"485","2.861362000","10.10.13.160","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"486","2.869713000","fe80::221:9bff:fe6e:4b01","ff02::1:ff6e:4b01","ICMPv6","86","Multicast Listener Report"
"487","2.871414000","10.10.15.160","10.10.15.255","NBNS","92","Name query NB ACCOUNT<1b>"
"488","2.875459000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M14.OJNYDYI.NET<00>"
"489","2.880485000","fe80::1262:ebff:fe11:18a5","ff02::1:ffc6:1e6e","ICMPv6","86","Neighbor Solicitation for fe80::134c:d724:57c6:1e6e from 10:62:eb:11:18:a5"
"490","2.882269000","fe80::eb73:ebab:f6d0:e4f5","ff02::1:ffd0:e4f5","ICMPv6","86","Multicast Listener Report"
"491","2.901742000","fe80::8616:f9ff:fe55:3de3","ff02::1:2","DHCPv6","128","Solicit XID: 0xfdd0b2 CID: 0001000123543f9d8416f9553de3 "
"492","2.906699000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M20.DQUGFGA.ME<00>"
"493","2.929574000","fe80::21d:7dff:fe23:dbd5","ff02::1:ff23:dbd5","ICMPv6","86","Multicast Listener Report"
"494","2.937946000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M15.MDHRFNX.COM<00>"
"495","2.944446000","fe80::225:64ff:fe92:4d81","ff02::1:ff92:4d81","ICMPv6","86","Multicast Listener Report"
"496","2.955584000","fe80::2c23:4b4e:1528:f5f6","ff02::1:ff28:f5f6","ICMPv6","86","Multicast Listener Report"
"497","2.969221000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M27.KFXTJZB.BIZ<00>"
"498","2.969274000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M0.RUMTLSI.BIZ<00>"
"499","2.984779000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M18.IHESOCN.COM<00>"
"500","2.989349000","fe80::345f:68d:9a86:2c5f","ff02::1:ff86:2c5f","ICMPv6","86","Multicast Listener Report"
"501","2.989740000","fe80::56dc:1dff:fea3:1e28","ff02::1:ff00:0","ICMPv6","86","Multicast Listener Report"
"502","2.995879000","fe80::f487:bc99:8e04:4293","ff02::1:ff04:4293","ICMPv6","86","Multicast Listener Report"
"503","3.000885000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Request  - Transaction ID 0xde2ed328"
"504","3.000924000","fe80::1af0:e4ff:fea0:e71b","ff02::1:ffa0:e71b","ICMPv6","86","Multicast Listener Report"
"505","3.000942000","98:de:d0:30:d3:cc","Broadcast","ARP","60","Who has 10.10.11.215?  Tell 10.10.19.200"
